N,P,K,temperature,humidity,ph,rainfall,label
90.66,21.02,62.12,23.52,91.16,6.51,24.18,muskmelon
100.49,17.17,40.65,25.23,91.98,6.68,50.37,watermelon
20.84,55.34,49.28,30.35,92.72,6.9,158.77,papaya
58.41,69.73,58.15,32.07,86.54,5.82,135.43,papaya
6.66,139.91,191.22,19.05,91.43,6.07,115.28,apple
27.13,24.96,27.1,32.33,56.53,6.04,115.8,mango
25.24,148.06,213.25,19.08,82.29,6.84,157.38,apple
8.51,31.84,22.25,21.6,61.1,6.72,88.92,mothbeans
22.88,39.62,25.24,24.79,93.6,6.34,50.19,mungbean
18.48,59.26,17.75,25.74,76.3,6.65,45.99,lentil
47.33,46.07,22.49,25.44,61.82,7.31,69.28,blackgram
24.8,23.21,24.21,26.08,96.38,6.0,152.34,coconut
29.7,18.34,43.06,19.25,90.91,6.58,105.03,pomegranate
114.17,65.19,44.68,27.28,68.87,6.38,163.25,jute
25.5,15.99,28.47,27.97,92.76,5.56,190.25,coconut
30.22,16.58,53.46,20.23,97.36,6.39,121.14,pomegranate
21.98,119.3,206.87,20.81,79.54,6.16,89.66,apple
85.61,52.28,10.32,29.69,66.35,5.95,83.88,maize
34.08,52.96,52.19,35.02,92.81,6.84,133.57,papaya
103.58,6.81,50.15,29.16,91.23,6.69,25.79,muskmelon
72.62,26.58,47.71,21.6,58.64,7.68,165.8,coffee
42.24,67.47,50.19,31.44,95.09,6.41,157.95,papaya
9.22,8.67,5.9,23.01,93.45,7.16,121.92,orange
66.62,62.97,41.67,36.2,92.09,6.72,111.93,papaya
49.53,81.12,93.15,23.92,19.71,7.33,55.97,chickpea
68.83,46.48,45.8,26.34,75.28,6.3,152.08,jute
20.36,50.58,34.85,26.55,86.62,5.98,24.08,mungbean
19.09,19.41,5.1,28.41,90.32,6.88,103.07,orange
21.56,64.01,23.49,16.87,53.46,5.86,143.33,pigeonpeas
95.81,31.22,30.62,26.55,84.57,6.46,384.11,rice
17.23,7.47,49.59,25.51,80.26,6.79,90.79,pomegranate
25.12,46.23,19.09,24.1,54.86,6.42,23.72,mothbeans
72.68,48.83,37.88,25.5,83.4,6.24,173.39,jute
35.04,70.21,17.38,19.72,68.15,7.23,38.68,lentil
83.69,46.46,27.03,26.74,83.72,6.43,192.69,jute
36.35,48.29,36.29,30.41,61.06,7.63,54.38,blackgram
92.03,48.01,61.78,24.12,75.5,6.87,158.13,jute
30.81,39.7,77.14,22.3,25.79,6.81,87.45,chickpea
35.71,58.08,65.94,18.75,8.48,7.6,81.24,chickpea
21.39,67.44,18.21,22.47,13.0,5.37,102.93,kidneybeans
48.39,49.8,60.57,29.81,91.32,6.82,175.84,papaya
33.13,27.66,46.63,30.52,48.05,5.82,92.5,mango
41.88,58.43,17.92,24.47,63.24,7.02,75.56,blackgram
54.61,39.02,12.09,18.59,64.44,7.0,103.37,maize
25.54,56.06,26.89,28.75,83.84,6.47,62.71,mungbean
63.45,18.47,23.11,32.97,62.95,6.72,86.64,maize
17.7,67.87,19.64,25.3,43.44,5.96,104.48,pigeonpeas
22.09,16.97,23.61,28.96,92.71,5.37,155.73,coconut
90.31,13.17,55.16,32.87,89.4,5.87,30.05,muskmelon
76.29,39.26,24.97,23.71,52.32,6.49,97.21,maize
21.53,60.71,28.24,27.99,58.23,7.47,63.37,blackgram
94.98,36.58,38.76,22.4,65.98,6.64,180.29,coffee
25.44,121.42,206.23,23.65,83.07,5.61,72.4,grapes
15.24,54.01,33.6,26.79,88.41,6.24,55.55,mungbean
106.39,32.15,6.17,24.28,57.7,7.31,151.19,coffee
9.29,71.93,15.15,23.16,30.96,5.39,94.01,kidneybeans
153.3,52.06,18.38,23.84,77.47,6.94,79.44,cotton
19.35,112.58,195.45,21.22,89.51,5.92,120.83,apple
125.31,84.45,57.27,25.12,86.43,5.9,105.55,banana
37.75,55.71,43.49,25.78,61.57,7.27,76.4,blackgram
93.8,19.29,48.11,27.82,77.35,5.9,52.17,watermelon
