State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Arecanut,1254,2000
Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Other Kharif pulses,2,1
Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Rice,102,321
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Banana,176,641
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Cashewnut,720,165
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Coconut ,18168,65100000
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Dry ginger,36,100
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Sugarcane,1,2
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Sweet potato,5,15
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Tapioca,40,169
Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Arecanut,1254,2061
Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Other Kharif pulses,2,1
Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Rice,83,300
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Cashewnut,719,192
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Coconut ,18190,64430000
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Dry ginger,46,100
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sugarcane,1,1
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sweet potato,11,33
Andaman and Nicobar Islands,NICOBARS,2002,Kharif     ,Rice,189.2,510.84
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Arecanut,1258,2083
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Banana,213,1278
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Black pepper,63,13.5
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Cashewnut,719,208
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Coconut ,18240,67490000
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Dry chillies,413,28.8
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Dry ginger,47.3,133
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Sugarcane,5,40
Andaman and Nicobar Islands,NICOBARS,2003,Kharif     ,Rice,52,90.17
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Arecanut,1261,1525
